Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,40.92,121.2,3.07,22.59,16.48,10.07,6.91,1.82,35.77,1.2,2.9,,,0.63,0.43,17.57,59.8,1.44,99.13,0.0,0.0,39.86,945.4,
2024-01-02,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-03,43.57,130.03,,,,,7.65,1.29,37.96,1.21,2.92,,,0.63,0.43,18.58,56.14,1.54,122.19,0.0,0.0,50.42,944.68,
2024-01-04,46.97,141.37,,,,,6.91,2.0,35.01,1.2,2.91,,,0.62,0.43,15.94,78.76,1.5,113.91,0.01,0.01,24.54,944.87,
2024-01-05,34.15,98.62,3.04,17.04,13.46,10.11,7.0,1.56,23.33,1.19,2.92,,,0.63,0.43,18.84,68.22,1.49,147.18,0.0,0.0,78.5,944.68,
2024-01-06,38.9,114.46,,,,,6.86,,28.54,1.2,2.91,,,0.62,0.43,17.99,70.23,1.78,90.13,0.0,0.0,51.43,944.68,
2024-01-07,37.23,108.89,,,,,6.5,,29.86,1.19,2.91,,,0.63,0.43,18.19,64.94,1.56,74.0,0.0,0.0,36.69,945.11,
2024-01-08,35.22,102.21,,,,,6.32,0.42,17.94,1.2,2.91,,,0.63,0.43,16.16,82.21,1.66,114.53,0.0,0.0,12.14,945.73,
2024-01-09,26.51,73.18,3.01,21.51,14.99,9.97,6.21,,25.23,1.2,2.91,,,0.62,0.43,17.69,68.34,1.95,82.37,0.0,0.0,48.32,945.67,
2024-01-10,39.4,116.11,,,,,7.51,,43.33,1.2,2.91,,,0.63,0.43,17.63,49.96,2.13,95.93,0.0,0.0,69.57,945.52,
2024-01-11,39.42,116.2,,,,,7.18,0.42,35.56,1.2,2.91,,,0.63,0.43,18.25,53.48,1.62,82.2,0.0,0.0,53.97,945.85,
2024-01-12,36.93,107.91,,,,,8.0,,43.2,1.2,2.91,,,0.63,0.43,17.94,51.2,2.11,90.57,0.0,0.0,59.41,945.69,
2024-01-13,56.46,173.01,,,,,8.05,,34.92,1.2,2.91,,,0.63,0.43,17.79,61.97,1.59,97.07,0.0,0.0,49.37,946.24,
2024-01-14,52.14,158.59,,,,,7.65,0.05,40.46,1.2,2.91,,,0.63,0.43,18.41,57.19,1.63,90.9,0.0,0.0,60.65,945.8,
2024-01-15,56.28,172.39,,,,,8.18,0.42,41.44,1.19,2.92,,,0.63,0.43,17.62,57.93,1.39,136.7,0.0,0.0,46.64,945.34,
2024-01-16,64.53,199.9,,,,,9.11,,37.34,1.2,2.9,,,0.63,0.43,17.45,61.05,1.57,150.7,0.0,0.0,53.4,944.42,
2024-01-17,55.68,170.4,,,,,8.89,,34.86,1.2,2.9,,,0.63,0.43,17.43,61.24,1.54,135.77,0.0,0.0,48.74,943.99,
2024-01-18,56.03,171.57,,,,,8.01,0.09,29.42,1.2,2.91,,,0.63,0.44,17.41,55.75,1.4,136.84,0.0,0.0,50.02,944.56,
2024-01-19,45.86,137.66,,,,,8.43,,39.09,1.2,2.91,,,0.63,0.43,18.52,55.99,1.69,104.92,0.0,0.0,58.63,944.65,
2024-01-20,60.25,185.62,,,,,8.64,,38.59,1.2,2.91,,,0.63,0.43,18.37,56.05,1.61,126.7,0.0,0.0,57.14,945.48,
2024-01-21,47.31,142.5,,,,,8.24,,35.14,1.2,2.92,,,0.63,0.43,18.71,58.04,1.56,137.24,0.0,0.0,58.85,945.54,
2024-01-22,48.25,145.64,,,,,8.26,,34.15,1.2,2.91,,,0.63,0.43,19.08,57.02,1.56,136.31,0.0,0.0,56.89,945.97,
2024-01-23,45.95,137.97,,,,,7.2,,23.38,1.2,2.92,,,0.62,0.43,14.82,72.14,1.28,142.11,0.0,0.0,0.0,946.23,
2024-01-24,92.18,292.05,,,,,11.28,,15.72,1.2,2.92,,,0.63,0.44,20.15,45.4,1.11,158.75,0.0,0.0,3.78,944.84,
2024-01-25,47.57,143.37,,,,,7.69,,31.97,1.2,2.92,,,0.63,0.42,18.95,54.63,1.51,125.85,0.0,0.0,62.45,945.97,
2024-01-26,37.26,109.0,,,,,6.91,,38.45,1.2,2.9,,,0.63,0.43,18.0,53.49,1.81,83.95,0.0,0.0,67.13,947.13,
2024-01-27,37.56,110.0,,,,,7.4,,24.21,1.2,2.92,,,0.63,0.43,14.57,76.66,1.96,88.85,0.0,0.0,83.35,947.88,
2024-01-28,29.47,83.03,3.0,4.5,6.8,9.95,7.02,,31.38,1.2,2.91,,,0.63,0.43,17.23,62.88,1.91,89.82,0.0,0.0,109.56,947.23,
2024-01-29,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-30,70.86,220.99,2.99,29.63,20.15,9.93,4.93,0.73,27.5,,,,,,,17.39,27.83,2.15,74.36,0.0,0.0,0.0,946.61,
2024-01-31,53.78,164.06,6.46,34.7,25.67,15.33,8.3,0.86,32.56,,,,,,,18.61,51.29,1.49,150.33,,0.0,85.12,945.99,
2024-02-01,71.29,222.42,16.32,47.74,40.63,31.93,8.73,,19.86,,,,,,,20.2,40.34,1.27,166.92,,0.0,51.78,945.66,
2024-02-02,70.86,220.99,,,,,8.65,,16.77,,,,,,,19.27,53.11,1.13,184.88,,0.0,89.4,945.92,
2024-02-03,62.61,193.49,,,,,7.67,,24.11,,,,,,,19.58,58.48,1.48,120.67,,0.0,61.99,946.01,
2024-02-04,42.72,127.19,,,,,7.75,,39.78,,,,,,,18.99,52.23,1.83,92.31,,0.0,77.69,947.03,
2024-02-05,47.45,142.55,,,,,7.85,,36.89,,,,,,,19.65,45.05,1.78,86.51,,0.0,116.92,947.18,
2024-02-06,53.21,162.18,3.0,20.4,15.25,9.95,7.78,1.3,30.68,,,,,,,20.46,43.17,1.7,104.25,,0.0,129.09,946.89,
2024-02-07,25.86,70.98,5.0,32.89,23.53,13.26,8.31,1.64,22.86,,,,,,,20.31,45.04,1.46,126.22,,0.0,117.66,946.82,
2024-02-08,12.14,25.26,5.64,33.61,24.43,14.39,9.32,1.71,32.41,0.0,0.0,,,,,20.89,37.92,1.58,111.41,,0.0,129.92,946.22,
2024-02-09,12.72,27.1,,,,,8.45,,31.57,,,,,,,20.73,36.76,1.96,110.64,,0.0,122.01,946.27,
2024-02-10,12.57,26.69,,,,,7.59,,34.65,,,,,,,19.83,52.92,2.32,99.24,,0.0,134.79,947.12,
2024-02-11,11.28,22.4,,,,,7.19,,38.93,,,,,,,19.58,48.2,2.44,104.34,,0.0,124.35,947.18,
2024-02-12,11.46,23.01,,,,,9.31,,33.04,,,,,,,19.65,39.48,2.16,121.76,,0.0,147.51,946.9,
2024-02-13,11.59,23.44,,,,,7.74,,33.61,,,,,,,18.64,51.43,2.05,100.65,,0.0,133.24,946.77,
