Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,32.51,59.64,,22.21,26.89,8.93,2.32,0.66,24.71,0.17,0.25,,,,,,71.67,0.43,234.1,,0.0,115.81,837.11,
2024-01-02,34.23,70.38,,26.86,32.33,9.33,2.04,0.53,42.7,0.18,0.24,,,,,,69.1,0.62,255.41,,0.0,118.31,838.28,
2024-01-03,35.66,78.43,,23.68,28.5,9.05,2.14,0.54,35.69,0.19,0.25,,,,,,74.31,0.48,255.15,,0.0,109.14,823.2,
2024-01-04,32.49,74.75,,23.83,28.88,8.67,1.33,0.65,19.91,0.18,0.25,,,,,,87.62,0.55,249.62,,0.0,69.67,824.83,
2024-01-05,27.61,58.95,,24.26,29.06,8.26,1.77,0.73,23.55,0.17,0.25,,,,,,87.21,0.24,243.88,,0.0,85.87,823.34,
2024-01-06,24.01,59.78,,24.35,29.45,9.01,1.99,0.42,44.28,0.18,0.25,,,,,,73.48,0.56,240.22,,0.0,144.96,821.96,
2024-01-07,19.02,42.1,,22.81,27.59,8.31,1.75,0.52,24.49,0.18,0.26,,,,,,78.8,0.53,254.84,,0.0,85.53,819.44,
2024-01-08,18.85,47.06,,24.26,29.14,8.73,1.59,0.39,22.81,0.19,0.25,,,,,,83.79,0.78,266.41,,0.0,66.24,821.84,
2024-01-09,17.99,43.84,,23.03,27.86,8.45,2.02,0.45,28.09,0.17,0.25,,,,,,86.56,0.95,266.98,,0.0,42.99,820.16,
2024-01-10,24.42,58.58,,25.05,30.26,9.07,1.89,0.37,38.62,0.17,0.24,,,,,,70.76,0.62,284.03,,0.0,106.47,819.31,
2024-01-11,26.47,58.6,,24.82,30.04,8.6,2.11,0.42,45.38,0.19,0.25,,,,,,60.84,0.77,273.81,,0.0,121.22,819.69,
2024-01-12,24.49,54.64,,23.3,28.16,9.08,2.32,0.4,42.54,0.18,0.25,,,,,,62.27,0.98,269.29,,0.0,139.16,819.59,
2024-01-13,29.96,64.08,,24.67,29.8,8.68,1.95,0.59,31.39,0.18,0.25,,,,,,68.09,0.71,255.75,,0.0,134.4,820.84,
2024-01-14,37.12,74.15,,26.11,31.47,9.06,1.95,0.59,28.43,0.17,0.24,,,,,,62.29,0.55,261.05,,0.0,152.45,819.68,
2024-01-15,34.5,76.03,,27.15,32.69,9.32,2.64,0.67,38.13,0.19,0.25,,,,,,60.63,0.34,244.29,,0.0,148.43,819.9,
2024-01-16,34.33,75.05,,27.22,32.69,10.13,2.15,0.51,43.16,0.17,0.25,,,,,,66.39,0.38,232.51,,0.0,132.12,822.03,
2024-01-17,37.1,79.14,,28.95,34.85,11.21,1.92,0.62,38.31,0.18,0.25,,,,,,65.27,0.41,153.84,,0.0,143.48,826.19,
2024-01-18,33.15,72.26,,33.75,40.46,12.25,2.47,0.57,34.98,0.18,0.26,,,,,,67.6,0.4,203.6,,0.0,132.69,826.84,
2024-01-19,30.51,67.12,,30.11,36.35,10.26,1.43,0.59,32.26,0.17,0.25,,,,,,69.44,0.4,218.63,,0.0,137.02,824.5,
2024-01-20,25.32,57.14,,20.77,25.19,8.32,2.38,0.43,40.39,0.19,0.25,,,,,,67.02,0.52,233.4,,0.0,138.88,824.25,
2024-01-21,30.74,69.5,,19.16,23.35,7.76,2.54,0.45,47.2,0.18,0.26,,,,,,60.41,0.45,229.63,,0.0,135.05,823.44,
2024-01-22,31.18,68.51,,22.03,26.81,6.78,1.83,0.55,38.27,0.18,0.26,,,,,,65.5,0.44,218.76,,0.0,138.31,826.36,
2024-01-23,28.67,68.98,,21.52,26.19,7.27,1.67,0.61,37.72,0.18,0.24,,,,,,64.74,0.41,224.31,,0.0,131.29,826.92,
2024-01-24,18.63,49.43,,22.09,26.82,7.7,2.7,0.42,44.44,0.18,0.25,,,,,,60.22,0.4,108.51,,0.0,147.25,819.01,
2024-01-25,33.03,65.59,,20.24,24.68,7.0,2.83,0.52,41.41,0.19,0.25,,,,,,57.97,0.54,184.99,,0.0,145.41,819.62,
2024-01-26,25.26,56.42,,17.14,21.04,7.08,2.36,0.5,36.23,0.18,0.26,,,,,,54.6,0.62,268.95,,0.0,129.82,822.52,
2024-01-27,24.41,60.28,,18.75,22.95,6.42,2.92,0.61,33.39,0.17,0.25,,,,,,56.66,0.61,278.25,,0.0,116.37,822.12,
2024-01-28,22.39,48.59,,18.31,22.48,6.6,2.75,0.31,27.44,0.19,0.24,,,,,,58.87,0.46,271.43,,0.0,119.94,821.04,
2024-01-29,26.72,58.91,,17.02,20.88,6.94,2.24,0.67,42.06,0.18,0.25,,,,,,60.66,0.59,263.27,,0.0,135.31,827.28,
2024-01-30,32.83,73.69,,17.34,21.31,6.93,2.91,0.58,42.55,0.18,0.26,,,,,,56.13,0.38,215.13,,0.0,150.88,833.22,
2024-01-31,29.22,71.34,,18.1,22.16,7.02,2.05,0.57,39.15,0.19,0.25,,,,,,55.87,0.28,151.85,,0.0,163.2,833.15,
2024-02-01,23.47,51.08,,17.63,21.54,7.27,1.75,0.53,41.0,0.17,0.25,,,,,,57.41,0.36,134.08,,0.0,152.84,836.71,
2024-02-02,24.65,54.24,,18.85,23.01,7.63,2.4,0.52,36.49,0.19,0.24,,,,,,58.4,0.35,180.7,,0.0,173.77,831.4,
2024-02-03,28.26,64.94,,19.03,23.27,7.77,2.18,0.55,34.25,0.17,0.26,,,,,,62.39,0.42,249.7,,0.0,142.05,818.28,
2024-02-04,27.99,64.02,,17.2,21.03,7.27,2.17,0.49,36.11,0.17,0.25,,,,,,55.0,0.61,269.62,,0.0,139.3,819.8,
2024-02-05,27.46,64.24,,18.84,23.0,7.16,3.38,0.47,46.2,0.19,0.26,,,,,,46.65,0.64,264.65,,0.0,146.11,819.77,
2024-02-06,24.82,57.15,,18.66,22.81,6.96,3.29,0.39,43.5,0.18,0.25,,,,,,45.82,0.72,273.73,,0.0,149.43,819.25,
2024-02-07,27.61,57.93,,18.42,22.6,7.05,4.19,0.54,45.67,0.17,0.25,,,,,,43.59,0.63,271.71,,0.0,162.33,818.96,
2024-02-08,31.79,64.19,,18.06,22.11,7.18,6.62,0.76,47.58,0.18,0.26,,,,,,37.29,0.52,239.0,,0.0,166.5,818.51,
2024-02-09,36.75,80.81,,17.96,21.98,7.11,7.15,0.71,46.86,0.19,0.24,,,,,,39.13,0.63,248.01,,0.0,162.7,836.53,
2024-02-10,30.97,66.98,,19.6,23.99,6.52,3.29,0.39,36.05,0.18,0.25,,,,,,49.52,0.71,280.87,,0.0,134.05,835.95,
2024-02-11,24.03,55.86,,17.88,21.93,6.78,2.79,0.32,36.73,0.18,0.26,,,,,,52.7,0.7,288.21,,0.0,140.68,836.76,
2024-02-12,23.42,56.09,,16.47,20.22,7.43,2.1,0.37,46.28,0.19,0.25,,,,,,47.37,0.82,271.35,,0.0,164.17,838.02,
2024-02-13,20.59,50.06,,19.01,23.23,7.35,3.16,0.36,47.31,0.18,0.25,,,,,,51.53,0.71,254.87,,0.0,146.87,839.49,
2024-02-14,19.15,42.68,,18.74,22.89,7.47,2.12,0.39,38.44,0.19,0.25,,,,,,54.48,0.77,264.72,,0.0,141.03,836.29,
2024-02-15,22.8,46.59,,17.47,21.18,7.3,3.38,0.36,39.61,0.22,0.3,,,,,,47.61,0.82,271.85,,0.0,149.19,824.59,
2024-02-16,24.29,51.96,,18.45,22.55,7.42,3.59,0.33,45.58,0.25,0.38,,,,,,51.13,0.87,263.12,,0.0,140.2,800.49,
2024-02-17,26.26,57.26,,19.61,23.98,7.43,3.15,0.45,50.27,0.26,0.37,,,,,,46.42,0.75,248.64,,0.0,160.04,810.2,
2024-02-18,32.9,74.35,,19.1,23.31,7.22,3.04,0.53,38.29,0.25,0.36,,,,,,46.45,0.48,247.43,,0.0,153.56,809.55,
2024-02-19,25.53,65.58,,17.74,21.69,7.22,4.28,0.43,29.5,0.25,0.36,,,,,,47.27,0.62,225.41,,0.0,152.14,810.03,
2024-02-20,26.26,58.16,,18.23,22.3,7.56,2.88,0.44,43.98,0.26,0.37,,,,,,49.85,0.44,207.95,,0.0,163.77,810.66,
2024-02-21,27.9,63.15,,20.61,25.05,7.94,2.45,0.47,40.99,0.26,0.38,,,,,,56.66,0.36,122.94,,0.0,159.8,812.24,
2024-02-22,23.54,57.42,,19.04,23.19,7.82,2.72,0.4,38.73,0.25,0.38,,,,,,57.52,0.4,161.85,,0.0,155.28,811.35,
2024-02-23,26.56,62.19,,20.13,24.5,7.42,4.96,0.52,39.51,0.25,0.38,,,,,,52.65,0.4,168.38,,0.0,153.14,809.66,
2024-02-24,27.09,63.95,,18.02,22.02,7.24,3.64,0.42,36.02,0.25,0.36,,,,,,55.2,0.37,145.42,,0.0,157.05,809.02,
2024-02-25,24.33,59.31,,18.4,22.57,7.58,2.24,0.35,44.74,0.25,0.36,,,,,,54.62,0.57,226.77,,0.0,154.1,808.49,
2024-02-26,24.9,60.2,,18.71,22.87,7.64,2.35,0.24,42.64,0.24,0.36,,,,,,52.62,0.7,281.43,,0.0,156.23,809.18,
